#{"t_start": 1731580513.1929808, "env_id": "None"}
r,l,t
-20444.010417,20,3.553042
-4503.90625,20,3.794994
-5854.166667,20,4.027003
-12444.010417,20,4.259572
-4130.208333,20,4.501621
-5162.760417,20,4.732384
-8449.21875,20,4.966759
-9625.0,20,5.179305
-9359.375,20,5.390992
-35414.0625,20,5.630556
-8390.625,20,5.866915
-3558.59375,20,6.12974
-12360.677083,20,6.363504
-38572.916667,20,6.573372
-4776.041667,20,6.787674
-12553.385417,20,7.040906
-2638.020833,20,7.315684
-8536.458333,20,7.569638
-3766.927083,20,7.830674
-38729.166667,20,8.097773
-5272.135417,20,8.371167
-13608.072917,20,8.627926
-3130.208333,20,8.889732
-28921.875,20,9.133523
-4763.020833,20,9.346111
-27627.604167,20,9.569597
-3216.145833,20,9.822169
-12378.90625,20,10.084681
-6244.791667,20,10.348584
-3446.614583,20,10.661212
-4628.90625,20,10.947469
-15447.916667,20,11.21068
-6111.979167,20,11.454367
-4210.9375,20,11.687087
-30148.4375,20,11.920794
-9839.84375,20,12.162442
-19117.1875,20,12.417723
-2238.28125,20,12.682199
-44028.645833,20,12.931536
-3572.916667,20,13.197136
-2583.333333,20,13.528368
-3093.75,20,13.79961
-1100.260417,20,14.07276
-21919.270833,20,14.315611
-2471.354167,20,14.590785
-3496.09375,20,14.831695
-4143.229167,20,15.06846
-2692.708333,20,15.289674
-1910.15625,20,15.509571
-3984.375,20,15.724198
-4994.791667,20,15.946651
-18787.760417,20,16.195516
-8666.666667,20,16.439989
-4197.916667,20,16.656126
-2631.510417,20,16.930277
-19871.09375,20,17.263167
-36278.645833,20,17.541646
-2527.34375,20,17.839018
-9989.583333,20,18.103763
-5976.5625,20,18.38294
-46809.895833,20,18.641131
-12388.020833,20,18.898761
-27404.947917,20,19.208699
-6401.041667,20,19.482119
-18393.229167,20,19.745571
-9929.6875,20,20.008995
-1852.864583,20,20.274009
-10221.354167,20,20.507696
-5315.104167,20,20.763065
-1763.020833,20,21.02692
-35540.364583,20,21.300683
-9190.104167,20,21.732229
-15110.677083,20,22.014938
-2596.354167,20,22.247619
-13618.489583,20,22.489931
-20046.875,20,22.753685
-17881.510417,20,22.998834
-20812.5,20,23.253463
-17897.135417,20,23.551727
-5147.135417,20,23.810656
-24902.34375,20,24.046817
-1393.229167,20,24.272438
-3177.083333,20,24.518178
-1889.322917,20,24.801867
-1687.5,20,25.042397
-2346.354167,20,25.355684
-3769.53125,20,25.655874
-6013.020833,20,25.918342
-25845.052083,20,26.273045
-2171.875,20,26.554864
-8454.427083,20,26.850792
-2535.15625,20,27.112319
-3764.322917,20,27.345448
-3295.572917,20,27.588874
-10924.479167,20,27.897701
-3071.614583,20,28.189705
-5561.197917,20,28.47756
-16792.96875,20,28.775997
-3554.6875,20,29.017625
-14940.104167,20,29.279769
-5358.072917,20,29.585857
-5850.260417,20,29.889839
-4944.010417,20,44.909298
-2795.572917,20,45.101902
-1502.604167,20,45.313926
-5291.666667,20,45.523273
-34687.5,20,45.747081
-8143.229167,20,45.93891
-17863.28125,20,46.139106
-4108.072917,20,46.334427
-1718.75,20,46.526989
-28498.697917,20,46.717483
-3027.34375,20,46.92377
-2963.541667,20,47.135146
-5757.8125,20,47.379408
-18055.989583,20,47.622418
-36300.78125,20,47.858314
-4308.59375,20,48.094241
-13446.614583,20,48.334898
-1734.375,20,48.579791
-14231.770833,20,48.792534
-6078.125,20,49.036516
-11158.854167,20,49.257948
-4946.614583,20,49.446916
-6078.125,20,49.645262
-20526.041667,20,49.826776
-25454.427083,20,50.019628
-14272.135417,20,50.222836
-5342.447917,20,50.425029
-1791.666667,20,50.620518
-1992.1875,20,50.809508
-5878.90625,20,51.001954
-3484.375,20,51.222947
-1859.375,20,51.445993
-3108.072917,20,51.68135
-17015.625,20,51.903858
-2950.520833,20,52.142372
-2640.625,20,52.372621
-3368.489583,20,52.611188
-2740.885417,20,52.834479
-17652.34375,20,53.065065
-6834.635417,20,53.288573
-3174.479167,20,53.522172
-18380.208333,20,53.713817
-32315.104167,20,53.905476
-33484.375,20,54.09967
-3093.75,20,54.290933
-29859.375,20,54.480606
-22076.822917,20,54.675847
-2639.322917,20,54.879028
-3690.104167,20,55.079938
-14098.958333,20,55.284408
-4427.083333,20,55.50714
-2169.270833,20,55.727306
