#{"t_start": 1731938121.8156562, "env_id": "None"}
r,l,t
-20493.570964,20,1.59041
-22835.367839,20,2.21176
-11153.808594,20,2.846428
-19912.272135,20,3.470165
-16060.872396,20,4.084949
-18681.803385,20,4.718058
-20069.335938,20,5.317314
-15502.685547,20,5.967078
-23383.219401,20,6.599912
-20859.049479,20,7.216141
-10269.53125,20,7.885489
-20161.132812,20,8.498836
-23892.415365,20,9.127204
-21568.033854,20,9.729779
-18979.736328,20,10.479522
-20145.345052,20,11.366644
-18017.333984,20,12.0168
-17568.603516,20,12.646056
-17182.779948,20,13.291252
-23325.195313,20,1482.652805
-16128.173828,20,3614.479727
-23421.95638,20,3617.110617
-17781.738281,20,7212.702545
-12336.01888,20,7215.122575
-21274.251302,20,10568.037326
-22571.940104,20,10570.25259
-19086.751302,20,10574.382686
-20741.210938,20,10576.763057
-17954.996745,20,10579.477889
-18107.584635,20,10581.979199
-12646.972656,20,10584.43243
-15600.504557,20,10586.976382
-24820.14974,20,10589.07625
-19915.690104,20,10591.009638
-16699.05599,20,10592.805606
-15771.647135,20,10595.353723
-21129.313151,20,10597.796847
-19180.338542,20,10600.736665
-20369.140625,20,10603.516834
-26676.269531,20,10606.23132
-24728.027344,20,10608.842888
-16145.345052,20,10611.235785
-16111.979167,20,10613.623358
-19019.53125,20,10615.241413
-14000.08138,20,10616.747425
-12871.826172,20,10618.10776
-17928.466797,20,10619.582956
-15327.392578,20,10621.015085
-17448.730469,20,10622.562099
-25933.349609,20,10624.299037
-21126.139323,20,10625.817445
-16393.473307,20,10627.228077
-26521.484375,20,10628.607668
-13118.408203,20,10630.027011
-19111.002604,20,10631.353885
-18236.083984,20,10632.795662
-20737.792969,20,10633.997565
-14391.357422,20,10634.877914
-12729.573568,20,10635.792858
-31525.146484,20,10636.605528
-19310.953776,20,10637.405448
-16527.913411,20,10638.169062
-30073.323568,20,10638.975752
-19740.478516,20,10639.736573
-13820.068359,20,10640.48638
-17600.667318,20,10641.249575
-24531.25,20,10642.043184
-16085.367839,20,10642.91869
-23620.686849,20,10643.850285
-26447.184245,20,10644.764113
-14494.140625,20,10645.552263
-25235.026042,20,10646.368046
-22633.707682,20,10647.125819
-22415.445964,20,10647.84831
-24342.936198,20,10648.58112
-18900.797526,20,10649.321259
-19469.645182,20,10650.051493
-14695.068359,20,10650.789966
-24000.488281,20,10651.716726
-24970.865885,20,10652.6013
-21783.935547,20,10653.377557
-14500.325521,20,10654.137235
-32205.240885,20,10654.998827
-17036.865234,20,10655.922434
-12194.091797,20,10656.822439
-19017.171224,20,10657.738081
-21992.675781,20,10658.54166
-23666.503906,20,10659.376312
-24482.340495,20,10660.129476
-18580.566406,20,10660.895093
-20435.709635,20,10661.675517
-21275.309245,20,10662.435815
-23653.320312,20,10663.178963
-19450.195312,20,10663.938891
-20948.242188,20,10664.68809
-11337.076823,20,10665.448679
-25095.784505,20,10666.186661
-12503.98763,20,10666.926616
-21155.843099,20,10667.6879
-19142.903646,20,10668.424441
-23243.326823,20,10669.154962
-14567.545573,20,10669.963058
-20941.080729,20,10729.979645
-17881.591797,20,10730.782115
-23379.231771,20,10731.584181
-20126.302083,20,10732.41139
-18006.754557,20,10733.203931
-20082.11263,20,10734.127426
-25121.744792,20,10734.932902
-13348.876953,20,10735.725965
-23142.008464,20,10736.525508
-30185.709635,20,10737.315854
-13247.151693,20,10738.114806
-15946.370443,20,10738.926766
-20396.077474,20,10739.768505
-12881.917318,20,10740.579901
-14005.777995,20,10741.378475
-18582.11263,20,10742.263003
-17977.213542,20,10743.120642
-20592.285156,20,10743.984467
-16170.491536,20,10744.806154
-23654.134115,20,10745.62727
-21517.415365,20,10746.426275
-18353.271484,20,10747.259279
-21465.576172,20,10748.087198
-26518.880208,20,10748.936004
-21337.239583,20,10749.766881
-27411.295573,20,10750.67366
-14317.871094,20,10751.586212
-17052.083333,20,10752.483384
-11191.975911,20,10753.387236
-25447.591146,20,10754.339933
-16304.60612,20,10755.350356
-15100.667318,20,10756.233787
-15588.053385,20,10757.156253
-18084.309896,20,10758.045346
