#{"t_start": 1732012142.142572, "env_id": "None"}
r,l,t
-7972.086589,20,2.38081
-7148.844401,20,3.152989
-6510.579427,20,3.811572
-7908.040365,20,4.528613
-6659.423828,20,5.183767
-8436.523438,20,5.816203
-6552.571615,20,6.448791
-15570.39388,20,7.065998
-7843.66862,20,7.666919
-10147.298177,20,8.290958
-6970.052083,20,8.924279
-8358.072917,20,9.573025
-9051.025391,20,10.243124
-11574.05599,20,10.86059
-7216.715495,20,11.554548
-8996.419271,20,12.214923
-18476.72526,20,12.844198
-16600.423177,20,13.465397
-10058.919271,20,14.104537
-7759.765625,20,14.764849
-6998.046875,20,15.431642
-12122.884115,20,16.079907
-9138.427734,20,16.718319
-7726.5625,20,17.375946
-9522.135417,20,18.007727
-32921.305339,20,18.663894
-8389.811198,20,19.284009
-6731.608073,20,19.943116
-9692.952474,20,20.67381
-8419.189453,20,21.301987
-9231.119792,20,21.939566
-10160.400391,20,22.57965
-8120.849609,20,23.219765
-11283.935547,20,23.828204
-9941.40625,20,24.45026
-36325.195312,20,25.098805
-10936.767578,20,25.757185
-22760.335286,20,26.567323
-9103.271484,20,27.479413
-15774.332682,20,28.211602
-7081.298828,20,28.924273
-15455.485026,20,29.674728
-7805.419922,20,30.364989
-11924.316406,20,31.024279
-8119.791667,20,31.777527
-10781.25,20,32.571305
-6036.621094,20,33.280049
-6960.77474,20,33.918569
-9892.659505,20,34.536092
-11012.207031,20,35.198844
-9119.710286,20,35.830537
-10109.130859,20,36.486587
-11444.091797,20,37.094808
-6679.60612,20,37.71681
-7093.58724,20,38.346648
-9948.242188,20,38.971355
-6993.082682,20,39.704654
-6731.119792,20,40.324602
-12721.598307,20,40.929487
-18699.869792,20,41.53089
-7857.014974,20,42.205731
-9103.027344,20,42.832897
-10297.770182,20,43.48046
-19694.580078,20,44.128588
-10729.736328,20,44.764148
-6667.480469,20,45.470399
-34073.079427,20,46.118057
-8839.436849,20,46.755486
-7259.521484,20,47.398384
-11812.33724,20,48.027886
-10782.958984,20,48.675551
-6707.438151,20,49.287315
-10982.828776,20,49.944258
-7091.389974,20,50.56856
-6217.692057,20,51.19363
-6664.22526,20,51.859601
-8772.379557,20,52.491873
-7160.31901,20,53.115078
-9856.526693,20,53.73046
-11608.479818,20,54.312865
-8845.377604,20,54.951228
-6035.15625,20,55.594957
-7640.625,20,56.251566
-17723.795573,20,56.895825
-12920.247396,20,57.629354
-12717.041016,20,58.29435
-10635.742188,20,59.00755
-10632.486979,20,59.633086
-9942.545573,20,60.260624
-6859.863281,20,60.891359
-7620.93099,20,61.508319
-16613.36263,20,62.194192
-8368.733724,20,62.818332
-14583.170573,20,63.424937
-8431.070964,20,64.040807
-8049.072266,20,64.656428
-8242.26888,20,65.293722
-11238.44401,20,65.90802
-12080.159505,20,66.541224
-7250.325521,20,67.174356
-9244.222005,20,67.764283
-12145.589193,20,68.38628
-7748.453776,20,121.572235
-11608.317057,20,122.240175
-28125.406901,20,122.938032
-9208.658854,20,123.619555
-9854.736328,20,124.268636
-10900.878906,20,124.954319
-6346.191406,20,125.702382
-14505.126953,20,126.401962
-7239.583333,20,127.145029
-9608.968099,20,127.791211
-18338.623047,20,128.454093
-7621.25651,20,129.066897
-7520.670573,20,129.736503
-7584.635417,20,130.399959
-8856.282552,20,131.065379
-11736.165365,20,131.701397
-14784.016927,20,132.35183
-12137.695312,20,132.952984
-16137.858073,20,133.57074
-10095.621745,20,134.165485
-8972.330729,20,134.807034
-10283.284505,20,135.474722
-7859.375,20,136.147073
-14773.763021,20,136.832105
-7456.380208,20,137.483277
-6624.104818,20,138.144776
-7512.369792,20,138.751791
-8156.819661,20,139.474053
-8130.208333,20,140.18092
-6593.017578,20,140.843171
-15842.773437,20,141.463515
-9427.571615,20,142.255211
-7643.798828,20,142.981691
-7410.970052,20,143.65846
-10686.848958,20,144.305122
-7414.22526,20,145.089881
-9195.39388,20,145.802623
-7467.041016,20,146.453638
-7852.864583,20,147.09547
-10363.850911,20,147.743615
-10573.242187,20,148.400402
-8480.957031,20,149.08401
-7471.110026,20,149.771642
-12560.953776,20,150.391344
-7314.778646,20,151.021919
-7149.088542,20,151.647998
-8602.539062,20,152.271743
-8985.026042,20,152.928909
-10402.50651,20,153.559709
-40068.196615,20,154.220479
-8201.090495,20,154.863885
-7734.619141,20,155.543938
-18388.183594,20,156.202003
-10642.333984,20,156.839126
-15297.281901,20,157.520019
-6078.857422,20,158.162322
-31040.283203,20,158.79305
-8110.595703,20,159.447497
-7749.023438,20,160.065134
-19799.397786,20,160.739593
-11794.759115,20,161.371152
-6822.672526,20,162.001679
-11053.792318,20,162.642947
-7455.403646,20,163.345747
-6981.852214,20,163.993261
-8423.421224,20,164.660661
-6721.110026,20,165.364409
-14709.798177,20,166.100213
-18687.41862,20,166.739593
-11452.799479,20,167.370855
-7395.670573,20,168.010996
-10622.802734,20,168.654408
-11120.279948,20,169.302633
-6777.099609,20,169.923603
-8625.406901,20,170.551889
-9232.014974,20,171.155722
-6993.733724,20,171.790341
-8022.298177,20,172.418995
-7827.555339,20,173.03203
-20034.586589,20,173.641256
-7133.951823,20,174.257538
-8964.84375,20,174.887862
-8649.576823,20,175.633229
-6796.386719,20,176.445993
-8061.848958,20,177.109655
-7380.696615,20,177.771417
-11038.818359,20,178.425301
-7873.697917,20,179.127832
-9005.777995,20,179.743806
-8440.022786,20,180.375884
-7557.128906,20,181.001713
-10234.944661,20,181.708346
-9494.954427,20,182.435505
-12278.808594,20,183.142747
