#{"t_start": 1731885597.1786423, "env_id": "None"}
r,l,t
231.0,10,4.032894
293.0,10,4.275988
270.0,10,4.437731
217.0,10,4.629835
290.0,10,4.802234
311.0,10,5.014507
191.0,10,5.358467
235.0,10,5.56057
264.0,10,5.720319
267.0,10,5.87198
273.0,10,6.045945
251.0,10,6.2179
192.0,10,6.410065
272.0,10,6.552143
279.0,10,6.703635
230.0,10,6.845129
197.0,10,6.98456
277.0,10,7.112169
262.0,10,7.265834
278.0,10,7.398513
198.0,10,7.54022
261.0,10,7.689647
304.0,10,7.812984
226.0,10,7.944249
303.0,10,8.085573
260.0,10,8.196459
275.0,10,8.337889
236.0,10,8.467211
250.0,10,8.58019
205.0,10,8.731681
246.0,10,8.883266
272.0,10,9.033127
294.0,10,9.156437
204.0,10,9.298026
276.0,10,9.439309
246.0,10,9.570641
222.0,10,9.712062
265.0,10,9.86365
257.0,10,10.005149
269.0,10,10.136423
269.0,10,10.267645
188.0,10,10.408961
284.0,10,10.560412
283.0,10,10.711998
284.0,10,10.883805
276.0,10,11.045521
251.0,10,11.197055
284.0,10,11.328437
287.0,10,11.490638
269.0,10,11.632019
267.0,10,11.771425
219.0,10,11.955327
305.0,10,12.106932
184.0,10,12.258537
270.0,10,12.440853
242.0,10,12.592542
199.0,10,12.764249
277.0,10,13.047183
255.0,10,13.198755
271.0,10,13.350303
287.0,10,13.50207
298.0,10,13.673889
272.0,10,13.85635
191.0,10,14.018007
212.0,10,14.179751
247.0,10,14.300968
273.0,10,14.422182
279.0,10,14.55341
246.0,10,14.694946
198.0,10,14.803884
314.0,10,14.906779
269.0,10,15.056404
255.0,10,15.179563
296.0,10,15.290651
280.0,10,15.460613
234.0,10,15.604166
223.0,10,15.755704
286.0,10,15.896976
218.0,10,16.048429
252.0,10,16.210314
268.0,10,16.361759
247.0,10,16.503158
279.0,10,16.634448
232.0,10,16.765912
246.0,10,16.915601
259.0,10,17.048892
222.0,10,17.170157
220.0,10,17.302118
199.0,10,17.441416
288.0,10,17.554293
238.0,10,17.685457
254.0,10,17.826927
254.0,10,17.958163
266.0,10,18.059194
258.0,10,18.178198
242.0,10,18.30133
208.0,10,18.422435
234.0,10,18.543544
220.0,10,18.654558
242.0,10,18.765531
265.0,10,18.876581
272.0,10,18.987676
241.0,10,19.096722
269.0,10,19.189466
292.0,10,19.300578
261.0,10,19.401445
221.0,10,19.52058
274.0,10,19.623509
232.0,10,19.734415
257.0,10,19.835285
256.0,10,19.944231
280.0,10,20.055212
260.0,10,20.158091
286.0,10,20.277174
289.0,10,20.380255
260.0,10,20.485684
279.0,10,20.585958
280.0,10,20.670609
285.0,10,20.770886
268.0,10,20.871174
233.0,10,20.987081
291.0,10,21.071725
283.0,10,21.187625
290.0,10,21.287901
279.0,10,21.388171
274.0,10,21.519702
278.0,10,21.619975
257.0,10,21.742393
265.0,10,21.842666
255.0,10,21.942961
264.0,10,22.074504
240.0,10,22.190409
260.0,10,22.326644
251.0,10,22.471634
177.0,10,22.587538
212.0,10,22.719064
264.0,10,23.1823
268.0,10,23.516203
265.0,10,23.769021
233.0,10,24.011645
279.0,10,24.173415
257.0,10,24.325028
218.0,10,24.545351
269.0,10,24.747569
263.0,10,24.901063
258.0,10,25.06268
245.0,10,25.204175
170.0,10,25.325945
168.0,10,25.455114
288.0,10,25.578334
251.0,10,25.697382
273.0,10,25.828619
260.0,10,25.942294
214.0,10,26.063308
