#{"t_start": 1732066083.7982495, "env_id": "None"}
r,l,t
-1106.25,20,3.334385
-1168.75,20,3.656833
-892.1875,20,3.9782
-896.875,20,4.285266
-1135.9375,20,4.59747
-1148.4375,20,4.934165
-960.9375,20,5.288193
-818.75,20,5.618874
-1157.8125,20,5.956123
-371.875,20,6.293938
-1023.4375,20,6.66919
-575.0,20,7.008798
-840.625,20,7.350318
-564.0625,20,7.734414
-423.4375,20,8.115201
-512.5,20,8.483063
-676.5625,20,8.812587
-1267.1875,20,9.165405
-954.6875,20,9.497844
-939.0625,20,9.829861
-1167.1875,20,10.147845
-790.625,20,10.464263
-265.625,20,10.815148
-1390.625,20,11.243411
-1367.1875,20,11.580513
-682.8125,20,11.92904
-1289.0625,20,12.265716
-1175.0,20,12.602999
-1323.4375,20,12.929197
-1076.5625,20,13.231863
-1214.0625,20,13.543894
-579.6875,20,13.849689
-854.6875,20,14.138996
-1259.375,20,14.424664
-976.5625,20,14.717943
-775.0,20,15.024403
-984.375,20,15.347338
-1253.125,20,15.647168
-543.75,20,15.95208
-1192.1875,20,16.25182
-1100.0,20,16.554753
-370.3125,20,16.872951
-1229.6875,20,17.189444
-1279.6875,20,17.472643
-565.625,20,17.77767
-1075.0,20,18.081398
-979.6875,20,18.425829
-1139.0625,20,18.731931
-1264.0625,20,19.038282
-1076.5625,20,19.331111
-684.375,20,19.644813
-1370.3125,20,19.959297
-1017.1875,20,20.244669
-1165.625,20,20.554132
-282.8125,20,20.8439
-1409.375,20,21.155784
-951.5625,20,21.463056
-951.5625,20,21.796236
-1287.5,20,22.093205
-914.0625,20,22.398412
-875.0,20,22.709231
-1182.8125,20,23.032203
-689.0625,20,23.318801
-795.3125,20,23.618789
-1318.75,20,23.91851
-798.4375,20,24.285002
-1198.4375,20,24.584656
-1187.5,20,24.888391
-1300.0,20,25.21785
-1157.8125,20,25.51741
-1139.0625,20,25.83297
-1143.75,20,26.133873
-1184.375,20,26.520731
-1309.375,20,26.857467
-1118.75,20,27.183373
-1306.25,20,27.516249
-1084.375,20,27.857375
-809.375,20,28.182584
-540.625,20,28.732284
-706.25,20,29.324343
-829.6875,20,29.698206
-1260.9375,20,29.998102
-639.0625,20,30.287432
-987.5,20,30.660078
-900.0,20,30.99228
-1359.375,20,31.32504
-892.1875,20,31.642061
-887.5,20,32.069454
-1042.1875,20,32.443598
-1134.375,20,32.798759
-376.5625,20,33.164286
-890.625,20,33.539858
-429.6875,20,33.880237
-1246.875,20,34.232453
-571.875,20,34.616031
-1126.5625,20,34.957943
-893.75,20,35.415673
-914.0625,20,35.732388
-1339.0625,20,36.081322
-831.25,20,36.697606
-1070.3125,20,37.097671
-496.875,20,37.435911
