#{"t_start": 1731636267.9233239, "env_id": "None"}
r,l,t
1599.0,40,0.366277
2133.0,40,0.763383
1232.0,40,1.163028
1219.0,40,1.529396
1531.0,40,1.845758
1665.0,40,2.179226
2010.0,40,2.515802
900.0,40,2.862018
2080.0,40,3.195037
2174.0,40,3.544864
1218.0,40,3.895037
2044.0,40,4.244395
2045.0,40,4.56356
1771.0,40,4.910622
1142.0,40,5.260427
2137.0,40,5.610072
1899.0,40,5.945937
1104.0,40,6.277874
2314.0,40,6.609619
2284.0,40,7.009754
1958.0,40,7.37559
1903.0,40,7.725501
1992.0,40,8.07523
1507.0,40,8.428591
2265.0,40,8.774894
1337.0,40,9.107857
2211.0,40,9.424462
1720.0,40,9.7741
2263.0,40,10.107359
1488.0,40,10.460706
1346.0,40,10.83731
2247.0,40,11.156609
1622.0,40,11.507248
2203.0,40,11.839487
1318.0,40,12.192948
1987.0,40,12.522441
2064.0,40,12.872086
2148.0,40,13.211944
2020.0,40,13.521902
1359.0,40,13.85492
1976.0,40,14.188079
1709.0,40,14.537684
2293.0,40,14.870754
2340.0,40,15.207878
1662.0,40,15.541318
2261.0,40,15.870684
2320.0,40,16.216128
1643.0,40,16.553125
1377.0,40,16.901974
2145.0,40,17.252761
2161.0,40,17.602448
712.0,40,29.053825
1145.0,40,29.36152
1220.0,40,29.694668
1989.0,40,30.028
2164.0,40,30.361091
754.0,40,30.694048
1339.0,40,31.060447
884.0,40,31.410308
1626.0,40,31.74723
1571.0,40,32.076821
1721.0,40,32.445641
1746.0,40,32.776118
1402.0,40,33.109148
1737.0,40,33.436454
1045.0,40,33.758839
817.0,40,34.107543
584.0,40,34.458406
1794.0,40,34.791352
1083.0,40,35.141145
2293.0,40,35.457669
1058.0,40,35.824599
2079.0,40,36.143244
1731.0,40,36.490303
2328.0,40,36.806817
1229.0,40,37.139912
1944.0,40,37.509198
1350.0,40,37.822761
2028.0,40,38.172559
1356.0,40,38.513237
2039.0,40,38.841723
1972.0,40,39.172107
1858.0,40,39.522029
1531.0,40,39.888162
1929.0,40,40.239411
2295.0,40,40.587791
2163.0,40,40.920705
1423.0,40,41.287362
2468.0,40,41.637061
1389.0,40,41.993464
1666.0,40,42.369889
2133.0,40,42.753139
1122.0,40,43.169521
1072.0,40,43.519417
844.0,40,43.935649
1202.0,40,44.36868
1355.0,40,44.801717
533.0,40,45.202909
1595.0,40,45.568014
1409.0,40,45.970097
1277.0,40,46.349688
1136.0,40,46.705254
1339.0,40,58.143375
2261.0,40,58.562454
1470.0,40,58.959327
2017.0,40,59.292317
2220.0,40,59.692175
2532.0,40,60.137934
2413.0,40,60.574967
1459.0,40,61.041338
2419.0,40,61.474424
1244.0,40,61.874135
1127.0,40,62.290452
2366.0,40,62.656861
1873.0,40,63.026997
2191.0,40,63.373177
1558.0,40,63.739677
1572.0,40,64.11395
1791.0,40,64.45575
1654.0,40,64.813418
1249.0,40,65.172068
1748.0,40,65.521796
1670.0,40,65.888318
1853.0,40,66.33797
2245.0,40,66.871049
1606.0,40,67.354032
1486.0,40,67.770377
2415.0,40,68.170145
2002.0,40,68.536379
1395.0,40,68.936273
2282.0,40,69.319264
1424.0,40,69.685817
1051.0,40,70.102306
1460.0,40,70.534673
1680.0,40,70.918303
1398.0,40,71.284785
2139.0,40,71.687918
2142.0,40,72.08429
1540.0,40,72.435388
1668.0,40,72.783773
2275.0,40,73.116972
2108.0,40,73.450072
1524.0,40,73.799752
2277.0,40,74.132876
2450.0,40,74.476264
2269.0,40,74.815948
2513.0,40,75.132229
1743.0,40,75.498628
939.0,40,75.886245
2363.0,40,76.231627
1362.0,40,76.597879
1077.0,40,76.947846
1611.0,40,77.283547
2014.0,40,89.756416
1471.0,40,90.155959
1304.0,40,90.555778
2154.0,40,90.972213
2082.0,40,91.376165
1546.0,40,91.788275
2479.0,40,92.154151
1473.0,40,92.571096
1251.0,40,92.93769
1985.0,40,93.320482
1584.0,40,93.674894
1289.0,40,94.020124
2078.0,40,94.41924
1825.0,40,94.819685
2451.0,40,95.236027
1821.0,40,95.619274
1414.0,40,96.004649
1467.0,40,96.402228
1838.0,40,96.789856
2291.0,40,97.168048
1971.0,40,97.517918
2145.0,40,97.934396
2369.0,40,98.350768
895.0,40,98.767108
1716.0,40,99.187554
1328.0,40,99.666752
1959.0,40,100.16632
1228.0,40,100.616001
612.0,40,101.049123
812.0,40,101.482105
2516.0,40,102.034473
1349.0,40,102.548233
882.0,40,103.097808
1791.0,40,103.65226
2487.0,40,104.130427
1310.0,40,104.613453
402.0,40,105.04585
1246.0,40,105.496236
1093.0,40,105.929411
409.0,40,106.36266
853.0,40,106.828656
1356.0,40,107.261693
681.0,40,107.694787
2023.0,40,108.198772
2196.0,40,108.631555
2299.0,40,109.057609
2032.0,40,109.59374
1630.0,40,110.160006
1499.0,40,110.659639
345.0,40,111.07595
808.0,40,111.535707
1334.0,40,126.182345
2199.0,40,126.515865
2435.0,40,126.848973
2129.0,40,127.199262
2312.0,40,127.531872
1372.0,40,127.881663
743.0,40,128.214912
1192.0,40,128.5747
2195.0,40,128.91464
2216.0,40,129.247504
1753.0,40,129.580591
1844.0,40,129.930362
1625.0,40,130.280115
1908.0,40,130.616018
1923.0,40,130.950127
768.0,40,131.279639
2123.0,40,131.629365
1365.0,40,131.959575
2349.0,40,132.295477
1468.0,40,132.628833
1153.0,40,132.959861
2526.0,40,133.278382
1629.0,40,133.627995
2437.0,40,133.959147
2166.0,40,134.296992
1703.0,40,134.654795
501.0,40,135.052781
1299.0,40,135.427007
1579.0,40,135.776645
1654.0,40,136.109687
1254.0,40,136.459509
2159.0,40,136.809537
1513.0,40,137.142386
2408.0,40,137.475485
1546.0,40,137.809199
2280.0,40,138.141757
840.0,40,138.508186
1942.0,40,138.858011
1924.0,40,139.207741
2343.0,40,139.557453
2434.0,40,139.874047
2261.0,40,140.209827
1479.0,40,140.544038
1431.0,40,140.890129
2154.0,40,141.234084
740.0,40,141.539687
2231.0,40,141.872834
1741.0,40,142.205868
850.0,40,142.555568
994.0,40,142.906122
2272.0,40,143.238539
803.0,40,143.571538
1776.0,40,154.914301
922.0,40,155.247414
1927.0,40,155.570693
1711.0,40,155.913698
2309.0,40,156.246966
1701.0,40,156.562999
1168.0,40,156.896311
1894.0,40,157.229546
1012.0,40,157.612676
1948.0,40,157.945739
1814.0,40,158.295631
2252.0,40,158.661936
1353.0,40,159.011611
1723.0,40,159.346623
2286.0,40,159.677886
1062.0,40,160.011049
1925.0,40,160.38099
1674.0,40,160.693971
1319.0,40,161.044235
519.0,40,161.376963
2412.0,40,161.710271
699.0,40,162.076505
2142.0,40,162.426184
1773.0,40,162.776025
2006.0,40,163.175836
1859.0,40,163.542152
1620.0,40,163.875475
2354.0,40,164.225802
1204.0,40,164.558139
1338.0,40,164.891356
1713.0,40,165.237261
2328.0,40,165.574202
1793.0,40,165.911289
388.0,40,166.244705
2032.0,40,166.559497
2100.0,40,166.873377
982.0,40,167.210867
1832.0,40,167.556403
986.0,40,167.889214
461.0,40,168.239159
2299.0,40,168.572382
2045.0,40,168.938617
2283.0,40,169.288486
1832.0,40,169.61387
2292.0,40,169.937996
2170.0,40,170.271292
1627.0,40,170.620835
1877.0,40,170.953998
1591.0,40,171.270617
547.0,40,171.586997
881.0,40,171.920151
1760.0,40,183.264558
1742.0,40,183.598694
1346.0,40,183.945746
1182.0,40,184.29558
2035.0,40,184.628595
2063.0,40,184.978333
1424.0,40,185.294791
2223.0,40,185.646524
1904.0,40,185.96106
1846.0,40,186.277372
1016.0,40,186.627444
1831.0,40,186.952602
1724.0,40,187.276764
2083.0,40,187.62883
1213.0,40,187.959899
1092.0,40,188.29293
2203.0,40,188.63042
2386.0,40,188.975777
1657.0,40,189.308894
1990.0,40,189.638203
1130.0,40,189.941807
2146.0,40,190.291718
2477.0,40,190.608219
254.0,40,190.957795
1402.0,40,191.307653
630.0,40,191.640739
863.0,40,191.974168
1361.0,40,192.306969
2303.0,40,192.659531
1687.0,40,192.977705
1476.0,40,193.310768
1801.0,40,193.639638
1438.0,40,193.989241
2206.0,40,194.329063
2301.0,40,194.655499
1499.0,40,194.98853
1977.0,40,195.355129
2243.0,40,195.704667
2384.0,40,196.038053
1643.0,40,196.371189
1796.0,40,196.687543
1356.0,40,197.020551
729.0,40,197.369929
1513.0,40,197.75307
1656.0,40,198.086619
1617.0,40,198.436413
2361.0,40,198.769394
2072.0,40,199.138832
2375.0,40,199.47282
1822.0,40,199.819004
1703.0,40,200.152009
1245.0,40,211.445302
1918.0,40,211.761319
1162.0,40,212.111097
1256.0,40,212.460723
1886.0,40,212.794037
1130.0,40,213.145471
1386.0,40,213.510137
1894.0,40,213.858164
2224.0,40,214.209702
1275.0,40,214.546997
1827.0,40,214.859196
1997.0,40,215.212766
1121.0,40,215.558843
1950.0,40,215.908698
1203.0,40,216.24158
1553.0,40,216.591398
2096.0,40,216.941377
953.0,40,217.257626
1920.0,40,217.590865
1082.0,40,217.927969
1202.0,40,218.273872
1321.0,40,218.606902
792.0,40,218.940069
1334.0,40,219.28968
671.0,40,219.635498
1995.0,40,219.97261
2077.0,40,220.272443
2376.0,40,220.627954
1959.0,40,220.938552
1433.0,40,221.273221
1815.0,40,221.590879
1389.0,40,221.920866
778.0,40,222.254571
1562.0,40,222.571044
1872.0,40,222.920612
1080.0,40,223.270572
1708.0,40,223.620346
769.0,40,223.953382
2098.0,40,224.286622
1039.0,40,224.615813
1459.0,40,224.953225
2358.0,40,225.289308
1761.0,40,225.611001
895.0,40,225.918673
1249.0,40,226.272099
1768.0,40,226.618388
1603.0,40,226.951478
2061.0,40,227.301262
1972.0,40,227.655593
1878.0,40,228.000813
1925.0,40,228.350592
2083.0,40,239.859917
2359.0,40,240.192937
2149.0,40,240.509328
1567.0,40,240.859098
1638.0,40,241.192436
1882.0,40,241.529593
1543.0,40,241.875172
2140.0,40,242.226742
1795.0,40,242.558023
2376.0,40,242.891055
1584.0,40,243.24105
1066.0,40,243.574138
1267.0,40,243.911188
2188.0,40,244.25706
1811.0,40,244.606893
2067.0,40,244.939936
1272.0,40,245.289674
1404.0,40,245.631474
1936.0,40,245.939127
1686.0,40,246.255775
1848.0,40,246.588835
1687.0,40,246.935645
1737.0,40,247.23849
1279.0,40,247.571497
2213.0,40,247.919461
1939.0,40,248.271244
2109.0,40,248.618973
2043.0,40,248.954022
1787.0,40,249.287091
1681.0,40,249.640376
1448.0,40,249.986718
1548.0,40,250.319265
1666.0,40,250.652918
2082.0,40,250.969497
2068.0,40,251.312308
2089.0,40,251.635665
1492.0,40,252.004542
2126.0,40,252.351871
2217.0,40,252.701518
905.0,40,253.034677
1609.0,40,253.36797
1281.0,40,253.717597
1262.0,40,254.050726
1496.0,40,254.400569
1014.0,40,254.733755
1786.0,40,255.083421
2072.0,40,255.433098
975.0,40,255.803585
1738.0,40,256.149431
1986.0,40,256.482473
1774.0,40,256.815592
1657.0,40,268.108299
2408.0,40,268.441417
964.0,40,268.774622
1403.0,40,269.107728
1710.0,40,269.440871
2026.0,40,269.776958
1598.0,40,270.138561
2103.0,40,270.473636
1722.0,40,270.823012
2216.0,40,271.15658
934.0,40,271.489661
2095.0,40,271.855985
1557.0,40,272.205898
1715.0,40,272.555513
2524.0,40,272.888686
1497.0,40,273.236516
916.0,40,273.588143
980.0,40,273.921286
2278.0,40,274.287648
2299.0,40,274.620805
1628.0,40,274.954028
1950.0,40,275.270516
1861.0,40,275.624793
1759.0,40,275.953562
1685.0,40,276.286481
1598.0,40,276.619523
1097.0,40,276.969369
2048.0,40,277.307308
2332.0,40,277.63562
2085.0,40,278.035491
1951.0,40,278.368591
2249.0,40,278.712421
2470.0,40,279.051655
1656.0,40,279.384587
1586.0,40,279.717768
2122.0,40,280.071356
751.0,40,280.417136
1241.0,40,280.783578
963.0,40,281.116708
1215.0,40,281.466569
2160.0,40,281.799706
1988.0,40,282.149405
2482.0,40,282.482384
774.0,40,282.815519
1683.0,40,283.14885
1337.0,40,283.498407
2048.0,40,283.831573
1329.0,40,284.180931
2207.0,40,284.530667
2432.0,40,284.874306
1265.0,40,285.214042
865.0,40,285.547164
1695.0,40,296.840505
1325.0,40,297.174018
1048.0,40,297.489598
300.0,40,297.823231
2101.0,40,298.172448
2487.0,40,298.505436
1937.0,40,298.855319
2270.0,40,299.225505
1470.0,40,299.571038
1825.0,40,299.906451
1533.0,40,300.237794
1403.0,40,300.58701
1110.0,40,300.917717
2129.0,40,301.237114
1757.0,40,301.586915
1823.0,40,301.920027
1922.0,40,302.253248
2319.0,40,302.586431
2051.0,40,302.914794
1845.0,40,303.240083
1615.0,40,303.571465
1440.0,40,303.904047
1402.0,40,304.222278
1804.0,40,304.551849
1388.0,40,304.884845
2050.0,40,305.218015
1720.0,40,305.568109
1236.0,40,305.91741
2057.0,40,306.233968
1306.0,40,306.584057
1884.0,40,306.916813
577.0,40,307.250001
1603.0,40,307.58604
2393.0,40,307.932863
1109.0,40,308.265877
1240.0,40,308.599022
1920.0,40,308.931205
2139.0,40,309.265364
