#{"t_start": 1732098831.5806217, "env_id": "None"}
r,l,t
263.0,5,1.858869
229.0,5,1.915869
274.0,5,1.976867
278.0,5,2.037868
294.0,5,2.09587
243.0,5,2.151869
252.0,5,2.203869
291.0,5,2.257869
270.0,5,2.306871
256.0,5,2.355868
285.0,5,2.408869
234.0,5,2.463909
251.0,5,2.51787
287.0,5,2.577872
303.0,5,2.629873
255.0,5,2.67887
284.0,5,2.729877
286.0,5,2.78387
266.0,5,2.825872
266.0,5,2.874871
266.0,5,2.926871
214.0,5,2.979873
277.0,5,3.051872
271.0,5,3.118872
275.0,5,3.169875
263.0,5,3.222872
236.0,5,3.286873
269.0,5,3.348892
262.0,5,3.403873
271.0,5,3.464887
279.0,5,3.519873
269.0,5,3.564881
252.0,5,3.611873
270.0,5,3.661874
218.0,5,3.716877
250.0,5,3.771875
233.0,5,3.823876
232.0,5,3.871877
276.0,5,3.919874
246.0,5,3.966877
218.0,5,4.011874
247.0,5,4.058874
273.0,5,4.109876
256.0,5,4.161874
278.0,5,4.222875
263.0,5,4.283876
239.0,5,4.351877
242.0,5,4.417878
273.0,5,4.472877
265.0,5,4.525876
265.0,5,4.582889
235.0,5,4.642878
271.0,5,4.694877
268.0,5,4.749878
276.0,5,4.794877
278.0,5,4.845879
265.0,5,4.898879
244.0,5,4.953878
273.0,5,5.010879
264.0,5,5.069877
268.0,5,5.123877
260.0,5,5.18188
259.0,5,5.24388
279.0,5,5.332878
264.0,5,5.387881
276.0,5,5.442878
262.0,5,5.503879
255.0,5,5.556879
231.0,5,5.608879
279.0,5,5.657882
288.0,5,5.70788
295.0,5,5.759879
267.0,5,5.809882
253.0,5,5.857879
238.0,5,5.90688
249.0,5,5.956881
299.0,5,6.007881
273.0,5,6.054883
263.0,5,6.10788
255.0,5,6.165884
303.0,5,6.226883
251.0,5,6.286883
294.0,5,6.348883
266.0,5,6.404882
286.0,5,6.464883
249.0,5,6.517897
279.0,5,6.567883
272.0,5,6.621882
237.0,5,6.671883
275.0,5,6.728889
275.0,5,6.775884
255.0,5,6.822882
216.0,5,6.871885
274.0,5,6.921884
254.0,5,6.968884
259.0,5,7.017884
296.0,5,7.072883
275.0,5,7.133885
235.0,5,7.189884
264.0,5,7.249887
253.0,5,7.313886
226.0,5,7.372885
230.0,5,7.434885
262.0,5,7.484888
304.0,5,7.539886
255.0,5,7.590892
297.0,5,7.64789
206.0,5,7.708889
236.0,5,7.769888
272.0,5,7.831909
300.0,5,7.894892
253.0,5,7.951888
278.0,5,8.003887
213.0,5,8.058887
223.0,5,8.116888
241.0,5,8.16589
288.0,5,8.216893
274.0,5,8.265889
188.0,5,8.318889
273.0,5,8.374889
267.0,5,8.423888
273.0,5,8.486889
263.0,5,8.538888
261.0,5,8.581889
257.0,5,8.633889
290.0,5,8.680888
252.0,5,8.732889
258.0,5,8.78389
251.0,5,8.828892
256.0,5,8.871893
293.0,5,8.915889
268.0,5,8.96089
240.0,5,9.00689
277.0,5,9.054891
286.0,5,9.09689
270.0,5,9.144893
245.0,5,9.18889
244.0,5,9.232891
269.0,5,9.270891
280.0,5,9.314891
278.0,5,9.357891
282.0,5,9.400892
263.0,5,9.446893
267.0,5,9.489893
254.0,5,9.527891
279.0,5,9.574891
274.0,5,9.621892
282.0,5,9.668894
271.0,5,9.711898
284.0,5,9.751894
266.0,5,9.791892
299.0,5,9.828894
262.0,5,9.870893
274.0,5,9.914892
258.0,5,9.959893
286.0,5,10.001893
294.0,5,10.042895
261.0,5,10.087894
255.0,5,10.129895
254.0,5,10.176894
279.0,5,10.223894
263.0,5,10.280895
271.0,5,10.330894
273.0,5,10.374897
256.0,5,10.420895
258.0,5,10.467894
280.0,5,10.517897
259.0,5,10.568896
259.0,5,10.619896
280.0,5,10.664896
306.0,5,10.711896
197.0,5,10.758895
201.0,5,10.809898
292.0,5,10.855897
261.0,5,10.902896
249.0,5,10.950899
242.0,5,11.000896
234.0,5,11.060898
254.0,5,11.123909
288.0,5,11.1899
274.0,5,11.251899
266.0,5,11.303897
274.0,5,11.378901
291.0,5,11.4369
277.0,5,11.488897
228.0,5,11.5359
273.0,5,11.582899
186.0,5,11.6309
243.0,5,11.677898
248.0,5,11.726898
300.0,5,11.7749
283.0,5,11.819899
280.0,5,11.868899
224.0,5,11.919899
276.0,5,11.9659
268.0,5,12.010901
