#{"t_start": 1731813344.6833732, "env_id": "None"}
r,l,t
247.0,5,3.347041
275.0,5,3.396316
251.0,5,3.445975
253.0,5,3.495926
270.0,5,3.546476
263.0,5,3.597498
241.0,5,3.64644
266.0,5,3.696441
272.0,5,3.763412
253.0,5,3.813873
253.0,5,3.85958
258.0,5,3.909525
220.0,5,3.959431
291.0,5,4.009591
278.0,5,4.059196
271.0,5,4.09247
276.0,5,4.142597
255.0,5,4.195152
273.0,5,4.245996
243.0,5,4.295604
257.0,5,4.342152
240.0,5,4.391542
240.0,5,4.442337
261.0,5,4.491063
242.0,5,4.54269
269.0,5,4.575631
183.0,5,4.6261
244.0,5,4.675933
252.0,5,4.725779
247.0,5,4.774185
259.0,5,4.829474
219.0,5,4.879631
292.0,5,4.928893
261.0,5,4.990691
212.0,5,5.045026
255.0,5,5.095106
213.0,5,5.158256
282.0,5,5.208258
253.0,5,5.261194
270.0,5,5.308811
204.0,5,5.358379
211.0,5,5.392328
293.0,5,5.445434
218.0,5,5.491788
233.0,5,5.542109
260.0,5,5.590338
239.0,5,5.625021
264.0,5,5.678286
271.0,5,5.728481
267.0,5,5.778762
234.0,5,5.828793
232.0,5,5.874954
258.0,5,5.926571
259.0,5,5.976462
277.0,5,6.019727
268.0,5,6.068403
282.0,5,6.111824
282.0,5,6.160529
268.0,5,6.201266
288.0,5,6.245953
265.0,5,6.296011
236.0,5,6.344594
272.0,5,6.387403
213.0,5,6.436272
287.0,5,6.491124
269.0,5,6.540861
222.0,5,6.591784
230.0,5,6.630702
204.0,5,6.682443
240.0,5,6.731835
276.0,5,6.790712
280.0,5,6.848763
271.0,5,6.89505
255.0,5,6.945978
266.0,5,6.996733
254.0,5,7.047533
251.0,5,7.098694
253.0,5,7.15948
258.0,5,7.210632
247.0,5,7.256782
288.0,5,7.307079
193.0,5,7.357039
283.0,5,7.399331
200.0,5,7.450448
269.0,5,7.499068
267.0,5,7.552353
276.0,5,7.652204
265.0,5,7.702932
209.0,5,7.746125
254.0,5,7.796659
258.0,5,7.845659
269.0,5,7.898176
275.0,5,7.944245
283.0,5,7.990385
251.0,5,8.039753
209.0,5,8.086832
256.0,5,8.132142
250.0,5,8.176893
292.0,5,8.224152
223.0,5,8.262755
260.0,5,8.31531
240.0,5,8.366349
285.0,5,8.415232
259.0,5,8.465906
293.0,5,8.509204
251.0,5,8.559917
268.0,5,8.610473
227.0,5,8.660957
197.0,5,8.711733
221.0,5,8.752226
241.0,5,8.805435
279.0,5,8.852
262.0,5,8.894987
200.0,5,8.945578
271.0,5,8.988978
247.0,5,9.037291
221.0,5,9.088094
259.0,5,9.12934
230.0,5,9.178669
251.0,5,9.221885
280.0,5,9.272564
264.0,5,9.323766
221.0,5,9.36439
217.0,5,9.413012
218.0,5,9.472356
255.0,5,9.517908
269.0,5,9.573439
242.0,5,9.627788
276.0,5,9.674584
218.0,5,9.730556
271.0,5,9.79355
258.0,5,9.852387
255.0,5,9.908606
285.0,5,9.958633
266.0,5,10.012566
277.0,5,10.076269
274.0,5,10.131389
225.0,5,10.180495
253.0,5,10.225959
260.0,5,10.276184
244.0,5,10.337603
274.0,5,10.384505
296.0,5,10.441731
250.0,5,10.490696
252.0,5,10.540813
276.0,5,10.588073
228.0,5,10.625631
295.0,5,10.675471
261.0,5,10.725525
302.0,5,10.782902
263.0,5,10.823187
267.0,5,10.890798
260.0,5,10.940835
259.0,5,10.990611
263.0,5,11.041299
272.0,5,11.090949
242.0,5,11.157546
268.0,5,11.209983
262.0,5,11.272593
235.0,5,11.334389
289.0,5,11.392432
295.0,5,11.447282
269.0,5,11.502582
264.0,5,11.541578
246.0,5,11.59106
271.0,5,11.657162
297.0,5,11.690468
231.0,5,11.741434
212.0,5,11.811503
296.0,5,11.858161
261.0,5,11.918017
243.0,5,11.990793
288.0,5,12.043772
244.0,5,12.086872
276.0,5,12.14017
224.0,5,12.187052
285.0,5,12.223666
247.0,5,12.28617
253.0,5,12.337245
225.0,5,12.370739
199.0,5,12.427655
208.0,5,12.470348
244.0,5,12.527762
270.0,5,12.570551
230.0,5,12.641594
246.0,5,12.688223
262.0,5,12.75736
277.0,5,12.807999
231.0,5,12.855431
277.0,5,12.90293
255.0,5,12.972557
267.0,5,13.059485
282.0,5,13.105929
248.0,5,13.143722
265.0,5,13.206551
219.0,5,13.261521
269.0,5,13.323133
277.0,5,13.379327
242.0,5,13.434963
234.0,5,13.484588
285.0,5,13.528133
227.0,5,13.57501
278.0,5,13.643393
281.0,5,13.693892
249.0,5,13.760819
245.0,5,13.825883
272.0,5,13.8683
271.0,5,13.928788
238.0,5,13.975639
255.0,5,14.022544
187.0,5,14.069447
263.0,5,14.113724
259.0,5,14.169821
258.0,5,14.213999
226.0,5,14.269993
277.0,5,14.314252
253.0,5,14.369879
216.0,5,14.414138
235.0,5,14.471007
247.0,5,14.514253
257.0,5,14.570023
248.0,5,14.616473
241.0,5,14.675498
255.0,5,14.738213
252.0,5,14.789983
221.0,5,14.852945
258.0,5,14.915326
209.0,5,14.973866
228.0,5,15.028313
264.0,5,15.080344
229.0,5,15.132185
215.0,5,15.17368
299.0,5,15.236187
214.0,5,15.287907
244.0,5,15.338699
188.0,5,15.405787
266.0,5,15.472605
265.0,5,15.533491
257.0,5,15.594911
281.0,5,15.638793
234.0,5,15.688311
269.0,5,15.739059
242.0,5,15.789702
272.0,5,15.855147
244.0,5,15.908291
247.0,5,15.958485
245.0,5,16.005344
286.0,5,16.054793
243.0,5,16.104568
232.0,5,16.13923
220.0,5,16.186155
271.0,5,16.271736
256.0,5,16.337516
294.0,5,16.397665
307.0,5,16.439506
226.0,5,16.486396
