#{"t_start": 1731648120.9458597, "env_id": "None"}
r,l,t
393.0,40,0.381142
1141.0,40,0.782614
1148.0,40,1.16231
552.0,40,1.687155
1195.0,40,2.064134
1724.0,40,2.411658
1897.0,40,2.76041
1247.0,40,3.123557
554.0,40,3.478982
1012.0,40,3.82627
365.0,40,4.17569
331.0,40,4.559928
521.0,40,4.924563
2003.0,40,5.27964
598.0,40,5.611591
709.0,40,5.944378
887.0,40,6.307142
890.0,40,6.661123
1276.0,40,7.011351
561.0,40,7.34294
438.0,40,7.675641
708.0,40,8.075536
343.0,40,8.425047
1220.0,40,8.772609
445.0,40,9.127794
1018.0,40,9.476746
1695.0,40,9.853657
1910.0,40,10.192833
720.0,40,10.557851
2228.0,40,10.920867
500.0,40,11.275535
1202.0,40,11.655988
849.0,40,12.026089
1266.0,40,12.373865
1270.0,40,12.705809
1281.0,40,13.069221
1464.0,40,13.424744
1399.0,40,13.77191
958.0,40,14.121429
324.0,40,14.469113
1964.0,40,14.824492
878.0,40,15.203529
428.0,40,15.573261
810.0,40,15.902766
849.0,40,16.252717
334.0,40,16.619074
856.0,40,16.968702
2014.0,40,17.318563
1125.0,40,17.651664
113.0,40,17.984878
658.0,40,18.345464
636.0,40,30.177043
856.0,40,30.510226
1491.0,40,30.826493
888.0,40,31.176379
278.0,40,31.546324
1019.0,40,31.892769
306.0,40,32.242644
614.0,40,32.592234
314.0,40,32.945625
792.0,40,33.308282
1335.0,40,33.658113
1991.0,40,33.989327
625.0,40,34.324448
1329.0,40,34.690326
1177.0,40,35.04077
456.0,40,35.383418
276.0,40,35.706921
1377.0,40,36.088333
1645.0,40,36.423367
619.0,40,36.756183
1133.0,40,37.122835
1222.0,40,37.49213
789.0,40,37.839018
943.0,40,38.205214
1415.0,40,38.538326
1328.0,40,38.891379
1088.0,40,39.254506
434.0,40,39.604384
1631.0,40,39.972294
1283.0,40,40.337282
1645.0,40,40.703744
1000.0,40,41.03983
1212.0,40,41.386598
52.0,40,41.719795
718.0,40,42.086109
765.0,40,42.454986
191.0,40,42.785784
708.0,40,43.118872
1188.0,40,43.46853
927.0,40,43.801769
1441.0,40,44.170726
32.0,40,44.504559
237.0,40,44.867712
1395.0,40,45.217652
335.0,40,45.569701
248.0,40,45.91739
850.0,40,46.266715
1612.0,40,46.616456
1498.0,40,46.969374
1023.0,40,47.32639
1643.0,40,47.719633
1070.0,40,59.837354
1205.0,40,60.242783
947.0,40,60.578313
1702.0,40,60.93036
1201.0,40,61.309864
1351.0,40,61.662194
687.0,40,62.031261
554.0,40,62.389598
774.0,40,62.773111
1350.0,40,63.144322
673.0,40,63.480261
1185.0,40,63.830393
502.0,40,64.195996
701.0,40,64.542496
528.0,40,64.888214
1048.0,40,65.245365
761.0,40,65.589995
1874.0,40,65.954862
1054.0,40,66.311116
281.0,40,66.665388
916.0,40,67.003621
1551.0,40,67.370161
1311.0,40,67.755673
94.0,40,68.119885
1001.0,40,68.469236
