#{"t_start": 1731589921.0534966, "env_id": "None"}
r,l,t
116.0,5,0.131895
97.0,5,0.21674
101.0,5,0.298013
64.0,5,0.376682
128.0,5,0.4687
78.0,5,0.562806
112.0,5,0.648938
69.0,5,0.732618
47.0,5,0.809299
101.0,5,0.891692
41.0,5,0.959129
56.0,5,1.025754
108.0,5,1.109077
106.0,5,1.191238
87.0,5,1.258928
86.0,5,1.325649
31.0,5,1.409013
38.0,5,1.475503
138.0,5,1.558784
92.0,5,1.625358
94.0,5,1.707834
84.0,5,1.775254
111.0,5,1.842024
120.0,5,1.925105
118.0,5,1.991733
50.0,5,2.074963
117.0,5,2.158481
66.0,5,2.246827
108.0,5,2.324786
50.0,5,2.391445
49.0,5,2.474877
97.0,5,2.557991
71.0,5,2.625157
110.0,5,2.7081
107.0,5,2.797488
51.0,5,2.8746
90.0,5,2.957766
61.0,5,3.024458
47.0,5,3.109964
77.0,5,3.19105
73.0,5,3.257711
74.0,5,3.340937
63.0,5,3.424303
51.0,5,3.490762
121.0,5,3.574192
36.0,5,3.663018
108.0,5,3.740741
55.0,5,3.807231
78.0,5,3.890534
160.0,5,3.972753
57.0,5,4.040467
75.0,5,4.123791
130.0,5,4.190322
64.0,5,4.273644
139.0,5,4.340366
103.0,5,4.406735
72.0,5,4.490201
64.0,5,4.573446
42.0,5,4.646015
40.0,5,4.70659
120.0,5,4.773305
96.0,5,4.85679
35.0,5,4.923244
104.0,5,5.006436
73.0,5,5.078982
88.0,5,5.139745
44.0,5,5.223013
104.0,5,5.298726
44.0,5,5.372951
69.0,5,5.439471
46.0,5,5.522931
134.0,5,5.589466
69.0,5,5.673252
119.0,5,5.756019
99.0,5,5.844828
131.0,5,5.922573
87.0,5,5.989297
92.0,5,6.072535
61.0,5,6.139099
74.0,5,6.205691
101.0,5,6.277539
84.0,5,6.338979
73.0,5,6.422246
53.0,5,6.494376
112.0,5,6.555498
75.0,5,6.638669
72.0,5,6.711291
87.0,5,6.788703
111.0,5,6.855253
56.0,5,6.938721
71.0,5,7.005199
74.0,5,7.088458
98.0,5,7.15518
75.0,5,7.221858
85.0,5,7.304988
90.0,5,7.371681
59.0,5,7.503215
124.0,5,7.578123
118.0,5,7.656245
76.0,5,7.740992
56.0,5,7.824617
71.0,5,7.894598
107.0,5,7.972785
65.0,5,8.057559
78.0,5,8.127081
96.0,5,8.212298
81.0,5,8.29043
125.0,5,8.358045
103.0,5,8.443968
65.0,5,8.528002
78.0,5,8.606128
130.0,5,8.676261
72.0,5,8.744108
65.0,5,8.822263
93.0,5,8.906659
94.0,5,8.976613
52.0,5,9.059378
78.0,5,9.122373
137.0,5,9.192054
45.0,5,9.273911
39.0,5,9.338883
28.0,5,9.42495
33.0,5,9.50982
45.0,5,9.586341
61.0,5,9.655915
80.0,5,9.724926
81.0,5,9.809291
78.0,5,9.903043
52.0,5,9.975421
81.0,5,10.058049
79.0,5,10.139992
105.0,5,10.219292
116.0,5,10.289322
86.0,5,10.358829
140.0,5,10.42134
51.0,5,10.506206
42.0,5,10.575022
43.0,5,10.653151
55.0,5,10.723088
49.0,5,10.791251
105.0,5,10.86937
102.0,5,10.939462
61.0,5,11.008513
102.0,5,11.071009
105.0,5,11.15556
110.0,5,11.223815
78.0,5,11.302589
124.0,5,11.369144
94.0,5,11.441672
121.0,5,11.502472
58.0,5,11.568973
89.0,5,11.653548
50.0,5,11.718095
141.0,5,11.792244
62.0,5,11.868163
143.0,5,11.935539
156.0,5,12.018665
78.0,5,12.092901
74.0,5,12.151892
70.0,5,12.235256
61.0,5,12.307111
52.0,5,12.391781
103.0,5,12.480833
90.0,5,12.551785
138.0,5,12.618308
112.0,5,12.694515
83.0,5,12.768297
62.0,5,12.834876
56.0,5,12.901482
117.0,5,12.984314
83.0,5,13.051341
56.0,5,13.134825
70.0,5,13.201337
108.0,5,13.292089
110.0,5,13.367824
53.0,5,13.451716
78.0,5,13.586174
120.0,5,13.651035
75.0,5,13.734352
35.0,5,13.817497
95.0,5,13.900841
107.0,5,13.967501
147.0,5,14.050699
110.0,5,14.134066
101.0,5,14.200649
41.0,5,14.292425
89.0,5,14.367155
117.0,5,14.43386
103.0,5,14.517083
25.0,5,14.598406
70.0,5,14.667025
37.0,5,14.73368
101.0,5,14.816863
43.0,5,14.901388
35.0,5,14.986136
42.0,5,15.066845
44.0,5,15.133445
48.0,5,15.216638
70.0,5,15.292017
101.0,5,15.36653
81.0,5,15.433212
133.0,5,15.516621
89.0,5,15.588646
40.0,5,15.649673
37.0,5,15.732992
112.0,5,15.805022
28.0,5,15.885453
143.0,5,15.966185
125.0,5,16.049478
74.0,5,16.134005
66.0,5,16.199396
59.0,5,16.266083
179.0,5,16.348575
55.0,5,16.41593
114.0,5,16.482598
56.0,5,16.567072
118.0,5,16.633136
97.0,5,16.699125
69.0,5,16.782362
108.0,5,16.848976
109.0,5,16.932303
91.0,5,16.998837
61.0,5,17.065452
139.0,5,17.147993
54.0,5,17.215494
71.0,5,17.282086
49.0,5,17.348595
83.0,5,17.43198
100.0,5,17.498584
23.0,5,17.582087
103.0,5,17.648466
101.0,5,17.71512
84.0,5,17.78716
144.0,5,17.865425
91.0,5,17.931693
44.0,5,17.998242
81.0,5,18.080503
40.0,5,18.148324
55.0,5,18.214762
115.0,5,18.298044
81.0,5,18.364755
41.0,5,18.431353
99.0,5,18.514711
72.0,5,18.597928
50.0,5,18.681366
88.0,5,18.747826
69.0,5,18.830378
112.0,5,18.903653
171.0,5,18.964343
78.0,5,19.047717
91.0,5,19.130928
84.0,5,19.214248
109.0,5,19.280792
85.0,5,19.36407
64.0,5,19.447348
75.0,5,19.530574
60.0,5,19.597291
