#{"t_start": 1732023036.2177484, "env_id": "None"}
r,l,t
-50166.015625,20,1.528607
-30612.792969,20,1.85729
-46479.492188,20,2.308885
-60197.753906,20,2.638325
-35161.132812,20,2.98575
-64404.296875,20,3.287622
-63535.15625,20,3.622722
-34729.003906,20,3.979825
-34729.003906,20,4.287599
-39287.109375,20,4.614103
-71193.847656,20,4.927461
-51381.835938,20,5.246643
-50981.445312,20,5.575436
-57927.246094,20,5.892173
-73093.261719,20,6.19759
-40212.402344,20,6.50774
-58300.78125,20,6.833889
-56921.386719,20,7.147097
-39704.589844,20,7.467714
-48791.503906,20,7.772319
-57719.726562,20,8.081219
-39777.832031,20,8.410866
-35607.910156,20,8.729802
-46979.980469,20,9.043776
-34436.035156,20,9.351923
-35761.71875,20,9.665091
-46198.730469,20,9.970054
-36516.113281,20,10.31279
-45705.566406,20,10.628929
-29499.511719,20,10.958189
-41254.882812,20,11.258531
-32509.765625,20,11.572771
-37514.648438,20,11.892649
-57099.609375,20,12.194177
-38989.257812,20,12.518685
-51142.578125,20,12.832456
-35305.175781,20,13.142718
-40346.679688,20,13.533803
-36154.785156,20,13.857164
-64284.667969,20,14.161642
-39467.773438,20,14.467182
-35380.859375,20,14.787989
-42949.21875,20,15.114161
-43395.996094,20,15.429322
-33769.53125,20,15.736894
-32331.542969,20,16.045806
-31491.699219,20,16.375791
-53005.371094,20,16.70206
-47783.203125,20,17.01821
-38164.0625,20,17.348344
-70046.386719,20,17.667287
-37478.027344,20,17.994213
-69936.523438,20,18.322752
-40173.339844,20,18.634473
-34130.859375,20,18.975713
-41220.703125,20,19.293755
-39421.386719,20,19.608328
-52744.140625,20,19.945608
-38937.988281,20,20.287524
-69868.164062,20,20.601673
-34343.261719,20,20.930019
-54570.3125,20,21.249564
-60080.566406,20,21.600966
-33972.167969,20,21.937374
-36560.058594,20,22.270312
-45126.953125,20,22.589778
-43305.664062,20,22.914907
-32294.921875,20,23.231663
-37529.296875,20,23.544859
-62109.375,20,23.871404
-47197.265625,20,24.199547
-34323.730469,20,24.540603
-50939.941406,20,24.852116
-41804.199219,20,25.162242
-47741.699219,20,25.514178
-47475.585938,20,25.831681
-46184.082031,20,26.141949
-50002.441406,20,26.46051
-37136.230469,20,26.797588
-32165.527344,20,27.12306
-32165.527344,20,27.45927
-32734.375,20,27.779191
-45673.828125,20,28.074239
-44360.351562,20,28.405937
-41987.304688,20,28.725504
-32429.199219,20,29.035167
-60798.339844,20,29.350083
-52365.722656,20,29.667742
-40312.5,20,29.968542
-70104.980469,20,30.304235
-39072.265625,20,30.625829
-56997.070312,20,30.947592
-69108.886719,20,31.255225
-53002.929688,20,31.595204
-39606.933594,20,31.902538
-52910.15625,20,32.231629
-57768.554688,20,32.555158
-38771.972656,20,32.87343
-36811.523438,20,33.184368
-60664.0625,20,33.519793
-30424.804688,20,33.835089
-62485.351562,20,34.145382
-38486.328125,20,55.626058
-40090.332031,20,55.958016
-54873.046875,20,56.263293
-36171.875,20,56.577748
-30695.800781,20,56.918197
-46647.949219,20,57.243983
-58547.363281,20,57.570134
-37514.648438,20,57.88945
-49628.90625,20,58.191626
-50573.730469,20,58.527212
-44980.46875,20,58.821425
-65119.628906,20,59.115212
-40859.375,20,59.43279
-55573.730469,20,59.761252
-32180.175781,20,60.080601
-42487.792969,20,60.405752
-38522.949219,20,60.726543
-56218.261719,20,61.047843
-35659.179688,20,61.362784
-47199.707031,20,61.67525
-34934.082031,20,61.98974
-31923.828125,20,62.304266
-44375.0,20,62.622871
-35239.257812,20,62.953525
-72133.789062,20,63.272137
