#{"t_start": 1732059021.5027556, "env_id": "None"}
r,l,t
-33210.449219,20,0.382514
-55859.375,20,0.769865
-48002.929688,20,1.161958
-31562.5,20,1.740293
-39467.773438,20,2.117768
-31711.425781,20,2.496294
-38342.285156,20,2.871139
-33352.050781,20,3.229039
-35520.019531,20,3.584542
-55666.503906,20,3.923423
-31606.445312,20,4.2796
-32819.824219,20,4.635703
-43037.109375,20,4.989459
-38359.375,20,5.337761
-54755.859375,20,5.697681
-42546.386719,20,6.060343
-38850.097656,20,6.405613
-60729.980469,20,6.753237
-29079.589844,20,7.10842
-66843.261719,20,7.464492
-40563.964844,20,7.819816
-39694.824219,20,8.176716
-31564.941406,20,8.533091
-42451.171875,20,8.878874
-30661.621094,20,9.245854
-47338.867188,20,9.602722
-50808.105469,20,9.93773
-56406.25,20,10.293737
-46735.839844,20,10.659355
-50649.414062,20,11.028666
-57375.488281,20,11.386998
-53759.765625,20,11.74564
-39743.652344,20,12.10955
-48513.183594,20,12.458165
-66938.476562,20,12.828075
-54890.136719,20,13.171536
-68762.207031,20,13.518453
-38950.195312,20,13.891513
-33413.085938,20,14.254679
-49606.933594,20,14.619282
-58984.375,20,14.969943
-47416.992188,20,15.33481
-47890.625,20,15.700938
-60742.1875,20,16.048362
-46533.203125,20,16.395201
-31032.714844,20,16.761776
-68679.199219,20,17.137555
-52587.890625,20,17.493038
-60454.101562,20,17.848939
-50820.3125,20,18.195528
-42536.621094,20,18.563983
-63559.570312,20,18.912186
-30393.066406,20,19.275952
-49304.199219,20,19.635978
-42453.613281,20,19.992121
-34587.402344,20,20.347028
-38356.933594,20,20.67233
-52199.707031,20,21.032321
-33000.488281,20,21.39567
-73005.371094,20,21.755799
-50983.886719,20,22.123266
-66389.160156,20,22.476092
-46044.921875,20,22.834429
-28984.375,20,23.212105
-30634.765625,20,23.573984
-55698.242188,20,23.921942
-50881.347656,20,24.28928
-47395.019531,20,24.694345
-45041.503906,20,25.101671
-51525.878906,20,25.51829
-54245.605469,20,25.899141
-32792.96875,20,26.308253
-34504.394531,20,26.664965
-30297.851562,20,27.142123
-56572.265625,20,27.510231
-29550.78125,20,27.866776
-51787.109375,20,28.233185
-69052.734375,20,28.598801
-50815.429688,20,28.946764
-29909.667969,20,29.315145
-54763.183594,20,29.646498
-42043.457031,20,30.017966
-52075.195312,20,30.385563
-48681.640625,20,30.753356
-33327.636719,20,31.0969
-36083.984375,20,31.445633
-63754.882812,20,31.789314
-37600.097656,20,32.128595
-45888.671875,20,32.473226
-32011.71875,20,32.831335
-34553.222656,20,33.177624
-48249.511719,20,33.533407
-67521.972656,20,33.889678
-54765.625,20,34.248116
-36701.660156,20,34.585437
-52419.433594,20,34.947109
-48969.726562,20,35.311594
-44929.199219,20,35.675839
-50842.285156,20,36.018417
-37363.28125,20,36.35427
-37644.042969,20,36.711096
-56062.011719,20,37.074876
-41977.539062,20,59.877191
-37658.691406,20,60.232429
-37949.21875,20,60.596375
-50080.566406,20,60.942627
-44880.371094,20,61.292943
-53703.613281,20,61.616456
-36735.839844,20,62.011821
-32060.546875,20,62.397767
-59916.992188,20,62.75814
-46176.757812,20,63.113147
-30378.417969,20,63.470264
-56481.933594,20,63.816741
-34914.550781,20,64.165436
-69445.800781,20,64.52197
-53144.53125,20,64.859775
-32473.144531,20,65.203062
-35158.691406,20,65.549389
-39689.941406,20,65.893011
-38215.332031,20,66.231175
-35129.394531,20,66.605758
-50585.9375,20,66.956476
-40788.574219,20,67.305887
-49653.320312,20,67.659797
-33527.832031,20,68.007772
-43483.886719,20,68.354993
-38332.519531,20,68.711595
-58686.523438,20,69.06728
-36076.660156,20,69.437655
-33264.160156,20,69.790567
-49726.5625,20,70.156648
-67753.90625,20,70.503703
-33310.546875,20,70.862796
-52158.203125,20,71.207837
-48637.695312,20,71.557334
-35737.304688,20,71.930382
-33205.566406,20,72.28213
-50117.1875,20,72.639746
-46628.417969,20,72.97656
-38190.917969,20,73.363458
-37233.886719,20,73.709313
-37685.546875,20,74.041596
-44987.792969,20,74.384509
-45156.25,20,74.734942
-32624.511719,20,75.084148
-39953.613281,20,75.427367
-44987.792969,20,75.783805
-36301.269531,20,76.136992
-45366.210938,20,76.505517
